time,depth1,depth2,depth3,depth4,depth5,depth6,depth7,depth8
01.01.2022 08:00:00,21.96371161,21.96371161,17.98673523,16.57373355,16.11896909,15.82465765,15.54401607,15.26400022
01.01.2022 08:10:00,21.90149584,21.90149584,18.02550932,16.58658662,16.12070972,15.82477533,15.54402023,15.2640003
01.01.2022 08:20:00,21.83170034,21.83170034,18.06316282,16.59977078,16.12257955,15.82490872,15.54402525,15.2640004
01.01.2022 08:30:00,21.7544881,21.7544881,18.09961261,16.61326547,16.12458164,15.82505916,15.54403128,15.26400053
01.01.2022 08:40:00,21.67003645,21.67003645,18.13477878,16.6270492,16.12671872,15.82522803,15.54403846,15.2640007
01.01.2022 08:50:00,21.57853667,21.57853667,18.16858473,16.64109961,16.12899319,15.82541674,15.54404696,15.26400091
01.01.2022 09:00:00,21.48019363,21.48019363,18.20095729,16.65539353,16.13140708,15.8256267,15.54405696,15.26400118
01.01.2022 09:10:00,21.37522536,21.37522536,18.23182684,16.66990706,16.13396206,15.82585938,15.54406866,15.26400151
01.01.2022 09:20:00,21.26386267,21.26386267,18.26112741,16.68461564,16.13665944,15.82611622,15.54408226,15.26400192
01.01.2022 09:30:00,21.14634864,21.14634864,18.28879678,16.69949414,16.13950014,15.82639869,15.54409799,15.26400242
01.01.2022 09:40:00,21.02293816,21.02293816,18.31477656,16.71451689,16.14248471,15.82670828,15.5441161,15.26400303
01.01.2022 09:50:00,20.89389749,20.89389749,18.33901232,16.7296578,16.14561332,15.82704643,15.54413684,15.26400378
01.01.2022 10:00:00,20.75950365,20.75950365,18.3614536,16.7448904,16.14888575,15.82741461,15.54416049,15.26400467
01.01.2022 10:10:00,20.62004396,20.62004396,18.38205405,16.7601879,16.15230141,15.82781426,15.54418733,15.26400574
01.01.2022 10:20:00,20.47581544,20.47581544,18.40077145,16.77552329,16.15585932,15.8282468,15.54421768,15.264007
01.01.2022 10:30:00,20.32712427,20.32712427,18.4175678,16.79086939,16.15955811,15.82871362,15.54425186,15.2640085
01.01.2022 10:40:00,20.17428515,20.17428515,18.43240934,16.80619891,16.16339606,15.82921609,15.5442902,15.26401027
01.01.2022 10:50:00,20.01762075,20.01762075,18.44526663,16.82148455,16.16737106,15.82975552,15.54433305,15.26401233
01.01.2022 11:00:00,19.85746104,19.85746104,18.45611457,16.83669901,16.17148063,15.83033321,15.54438077,15.26401473
01.01.2022 11:10:00,19.6941427,19.6941427,18.4649324,16.85181511,16.17572196,15.83095038,15.54443374,15.26401752
01.01.2022 11:20:00,19.52800844,19.52800844,18.47170379,16.86680581,16.18009186,15.83160822,15.54449235,15.26402074
01.01.2022 11:30:00,19.35940634,19.35940634,18.47641678,16.8816443,16.1845868,15.83230785,15.544557,15.26402444
01.01.2022 11:40:00,19.1886892,19.1886892,18.47906385,16.89630407,16.18920294,15.83305035,15.5446281,15.26402867
01.01.2022 11:50:00,19.01621386,19.01621386,18.47964185,16.91075891,16.19393608,15.83383671,15.54470607,15.26403351
01.01.2022 12:00:00,18.84234052,18.84234052,18.47815207,16.92498305,16.19878174,15.83466785,15.54479135,15.264039
01.01.2022 12:10:00,18.66743201,18.66743201,18.47460016,16.93895116,16.20373512,15.83554465,15.54488436,15.26404522
01.01.2022 12:20:00,18.49185317,18.49185317,18.46899612,16.95263842,16.20879112,15.83646788,15.54498554,15.26405223
01.01.2022 12:30:00,18.31597006,18.31597006,18.4613543,16.96602059,16.2139444,15.83743823,15.54509536,15.26406013
01.01.2022 12:40:00,18.14014933,18.14014933,18.4516933,16.97907403,16.21918931,15.83845634,15.54521427,15.26406898
01.01.2022 12:50:00,17.9647575,17.9647575,18.440036,16.9917758,16.22451998,15.83952273,15.54534271,15.26407888
01.01.2022 13:00:00,17.79016024,17.79016024,18.42640941,17.00410364,16.22993029,15.84063784,15.54548115,15.2640899
01.01.2022 13:10:00,17.61672168,17.61672168,18.41084469,17.01603609,16.23541391,15.84180204,15.54563005,15.26410216
01.01.2022 13:20:00,17.44480371,17.44480371,18.39337704,17.02755249,16.2409643,15.84301558,15.54578986,15.26411575
01.01.2022 13:30:00,17.27476531,17.27476531,18.37404562,17.03863302,16.24657471,15.84427863,15.54596105,15.26413076
01.01.2022 13:40:00,17.10696183,17.10696183,18.35289348,17.0492588,16.25223824,15.84559127,15.54614406,15.26414732
01.01.2022 13:50:00,16.94174434,16.94174434,18.32996746,17.05941183,16.25794783,15.84695347,15.54633935,15.26416552
01.01.2022 14:00:00,16.77945892,16.77945892,18.30531808,17.06907513,16.26369626,15.84836512,15.54654736,15.2641855
01.01.2022 14:10:00,16.62044606,16.62044606,18.27899945,17.0782327,16.26947619,15.84982599,15.54676853,15.26420737
01.01.2022 14:20:00,16.46503993,16.46503993,18.25106918,17.0868696,16.27528018,15.85133577,15.54700328,15.26423125
01.01.2022 14:30:00,16.31356782,16.31356782,18.22158818,17.09497195,16.28110069,15.85289405,15.54725203,15.26425728
